ID,業種,店舗名,住所,建物名,経度,緯度
83,小売り,勝男屋焼津さかなセンター本店,八楠4丁目13-7,焼津さかなセンター内,138.3043009,34.88067556
84,小売り,カナリヤ堂,栄町4-2-7,,138.3200631,34.86960337
85,小売り,有限会社カネキュウ水産,八楠4-13-7,さかなセンター内,138.3043009,34.88067556
86,小売り,株式会社カネセイ水産焼津さかなセンター店,八楠4-13-7,,138.3043009,34.88067556
87,小売り,カネト平田商店,八楠4-13-7,,138.3043009,34.88067556
88,小売り,株式会社カネトモ,八楠4丁目13番7号,,138.3043009,34.88067556
89,小売り,金虎昭和通り店,本町4丁目12-10,,138.3220401,34.86386198
90,小売り,株式会社カネヨ工場直売所,小川新町3-9-3,,138.322652,34.85499254
91,小売り,かまだ青果店,本町5丁目1-12,,138.3198875,34.86293532
92,小売り,からあげ「大ちゃん」焼津・小川店,東小川2丁目16-3,ゼンセイビル１階,138.3118612,34.85837505
93,小売り,株式会社ｶﾗｰｽﾞ･ｵｰﾄｷﾞｬﾗﾘｰ,東小川4丁目13番地の3,,138.3170784,34.85276923
94,小売り,川口呉服店,小川新町1丁目14-14,,138.3223073,34.85897529
95,小売り,川直焼津さかなセンター店,八楠4-13-7,焼津さかなセンター内,138.3043009,34.88067556
96,小売り,キーマン静岡,東祢宜島20-1,,138.3078786,34.84095781
97,小売り,喫茶アルハ,本町3丁目9-25,,138.3224189,34.86563477
98,小売り,久星商店,焼津6-5-7,,138.3185854,34.86417807
99,小売り,業務スーパー焼津小川店,西小川3-14-5,,138.3071231,34.85712564
100,小売り,業務スーパー焼津店,石津2-12-2,,138.3173592,34.84112591
101,小売り,杏林堂薬局西焼津駅前店,小屋敷385,,138.2846973,34.86099336
102,小売り,杏林堂薬局焼津大住店,大住673,,138.2914936,34.84758557
103,小売り,杏林堂薬局焼津与惣次店,与惣次1-3-5,,138.3119433,34.84614523
104,小売り,切身・漬魚専門店魚・魚(to・to),八楠4-15-28,,138.3041678,34.8799803
105,小売り,くすかみ呉服店,西小川5-2-15,,138.3079976,34.85900032
106,小売り,薬のふくち,焼津1-3-21,,138.3159381,34.86636003
107,小売り,グランドシティ焼津,八楠4-3-7,,138.3048859,34.87774702
108,小売り,クリエイトエス・ディー焼津三ヶ名店,三ケ名 218,,138.2992959,34.85344281
109,小売り,クリエイトエス・ディー焼津小土店,小土 270-17,,138.2938443,34.86883641
110,小売り,クリエイトエス・ディー焼津下小田店,下小田上町 2-3,,138.3173401,34.83789306
111,小売り,クリエイトエス・ディー焼津四丁目店,焼津 4-7-26,,138.3146534,34.86254369
112,小売り,KOマート大井川店,高新田327,,138.2998519,34.80081856
113,小売り,ＫＯマート焼津駅北店,駅北4丁目2-4,,138.3169754,34.87458902
114,小売り,小池青果店,石津港町4の1,,138.327977,34.84496953
115,小売り,小石安之助商店,浜当目２－６－７,,138.3299609,34.87960587
116,小売り,光月堂,本町4-1-17,,138.3197656,34.86437644
117,小売り,甲羅組2号店,八楠4-13-7,,138.3043009,34.88067556
118,小売り,甲羅組本店,八楠4-13-7,,138.3043009,34.88067556
119,小売り,コーヒー乃川島焼津店,本町3-7-7,,138.3219281,34.86494892
120,小売り,GOFLOWERWORKS,東小川6丁目13-3,,138.3106426,34.85413758
121,小売り,コスモスベリーズ焼津店＆B.mama館,東小川５丁目11-14,,138.3100717,34.8558937
122,小売り,コハマ小川店,南小川1丁目17番地５,,138.3085275,34.8473498
123,小売り,コバヤシ電器,相川689-1,,138.2628225,34.80811475
124,小売り,（有）呉服萩原,坂本490-8,,138.3130075,34.89093505
125,小売り,小麦屋,石脇上59-3,,138.3208056,34.88603945
126,小売り,ゴルフドゥ西焼津店,柳新屋843,,138.2902527,34.85841353
127,小売り,酒蔵いとう,保福島1135,,138.2836184,34.86560005
128,小売り,サカモト電器,道原1215-2,,138.3028534,34.84437031
