全国地方公共団体コード,ID,地方公共団体名,種別,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,口径,備考
222127,106,静岡県焼津市,井戸,222127,0032005,静岡県焼津市栄町五丁目11番24,静岡県,焼津市,栄町五丁目,11番24,,34.86941,138.318322,,
222127,107,静岡県焼津市,井戸,222127,0032006,静岡県焼津市栄町六丁目2番1   ,静岡県,焼津市,栄町六丁目,2番1,,34.868942,138.317765,,
222127,108,静岡県焼津市,井戸,222127,0032006,静岡県焼津市栄町六丁目5番8,静岡県,焼津市,栄町六丁目,5番8,,34.86803,138.31633,,
222127,109,静岡県焼津市,井戸,222127,0035000,静岡県焼津市三ケ名986番地,静岡県,焼津市,三ケ名,986番地,,34.859698,138.302844,,
222127,110,静岡県焼津市,井戸,222127,0036000,静岡県焼津市塩津216番地の1,静岡県,焼津市,塩津,216番地の1,,34.868333,138.306533,,
222127,111,静岡県焼津市,井戸,222127,0052000,静岡県焼津市田尻北409番地2,静岡県,焼津市,田尻北,409番地2,,34.834282,138.328228,,
222127,112,静岡県焼津市,井戸,222127,0053000,静岡県焼津市道原1000番地,静岡県,焼津市,道原,1000番地,,34.837215,138.307305,,
222127,113,静岡県焼津市,井戸,222127,0056000,静岡県焼津市中新田143番地3,静岡県,焼津市,中新田,143番地3,,34.843696,138.292887,,
222127,114,静岡県焼津市,井戸,222127,0057000,静岡県焼津市中根36番地,静岡県,焼津市,中根,36番地,,34.839881,138.297954,,
222127,115,静岡県焼津市,井戸,222127,0058000,静岡県焼津市中根新田48番地,静岡県,焼津市,中根新田,48番地,,34.838665,138.296986,,
222127,116,静岡県焼津市,井戸,222127,0058000,静岡県焼津市中根新田49番地6,静岡県,焼津市,中根新田,49番地6,,34.838804,138.297982,,
222127,117,静岡県焼津市,井戸,222127,0058000,静岡県焼津市中根新田637番地,静岡県,焼津市,中根新田,637番地,,34.8336,138.29432,,
222127,118,静岡県焼津市,井戸,222127,0059003,静岡県焼津市中港三丁目3番15,静岡県,焼津市,中港三丁目,3番15,,34.874493,138.325358,,
222127,119,静岡県焼津市,井戸,222127,0059005,静岡県焼津市中港五丁目8番13,静岡県,焼津市,中港五丁目,8番13,,34.874897,138.327756,,
222127,120,静岡県焼津市,井戸,222127,0059005,静岡県焼津市中港五丁目9番25,静岡県,焼津市,中港五丁目,9番25,,34.873971,138.327358,,
222127,121,静岡県焼津市,井戸,222127,0063000,静岡県焼津市祢宜島202番地11,静岡県,焼津市,祢宜島,202番地11,,34.840887,138.303784,,
222127,122,静岡県焼津市,井戸,222127,0068003,静岡県焼津市浜当目三丁目14番13,静岡県,焼津市,浜当目三丁目,14番13,,34.88036,138.335619,,
222127,123,静岡県焼津市,井戸,222127,0069001,静岡県焼津市東小川一丁目8番1号,静岡県,焼津市,東小川一丁目,8番1号,,34.859718,138.31357,,
222127,124,静岡県焼津市,井戸,222127,0069003,静岡県焼津市東小川三丁目1番9号,静岡県,焼津市,東小川三丁目,1番9号,,34.856193,138.316864,,
222127,125,静岡県焼津市,井戸,222127,0069004,静岡県焼津市東小川四丁目7番,静岡県,焼津市,東小川四丁目,7番,,34.853508,138.313208,,
222127,126,静岡県焼津市,井戸,222127,0071000,静岡県焼津市保福島220番地,静岡県,焼津市,保福島,220番地,,34.868914,138.281026,,
222127,127,静岡県焼津市,井戸,222127,0071000,静岡県焼津市保福島662番地,静岡県,焼津市,保福島,662番地,,34.869621,138.281887,,
222127,128,静岡県焼津市,井戸,222127,0073001,静岡県焼津市本町一丁目3番22,静岡県,焼津市,本町一丁目,3番22,,34.867988,138.322783,,
222127,129,静岡県焼津市,井戸,222127,0073001,静岡県焼津市本町一丁目3番28,静岡県,焼津市,本町一丁目,3番28,,34.868212,138.322133,,
222127,130,静岡県焼津市,井戸,222127,0073002,静岡県焼津市本町二丁目16番32,静岡県,焼津市,本町二丁目,16番32,,34.867118,138.322417,,
222127,131,静岡県焼津市,井戸,222127,0073005,静岡県焼津市本町五丁目1番6,静岡県,焼津市,本町五丁目,1番6,,34.863397,138.320164,,
222127,132,静岡県焼津市,井戸,222127,0073006,静岡県焼津市本町六丁目3番11,静岡県,焼津市,本町六丁目,3番11,,34.860059,138.319503,,
222127,133,静岡県焼津市,井戸,222127,0074000,静岡県焼津市三和285番地,静岡県,焼津市,三和,285番地,,34.82442,138.301711,,
222127,134,静岡県焼津市,井戸,222127,0078002,静岡県焼津市焼津二丁目1番11,静岡県,焼津市,焼津二丁目,1番11,,34.864315,138.316392,,
222127,135,静岡県焼津市,井戸,222127,0078004,静岡県焼津市焼津二丁目1番11,静岡県,焼津市,焼津四丁目,15番地,,34.863334,138.31371,,
222127,136,静岡県焼津市,井戸,222127,0078005,静岡県焼津市焼津五丁目5番1,静岡県,焼津市,焼津五丁目,5番1,,34.860851,138.318654,,
222127,137,静岡県焼津市,井戸,222127,0078006,静岡県焼津市焼津六丁目5番18,静岡県,焼津市,焼津六丁目,5番18,,34.864357,138.318046,,
222127,138,静岡県焼津市,井戸,222127,0001000,静岡県焼津市相川1068番地  ,静岡県,焼津市,相川,1068番地  ,,34.805761,138.264935,,
222127,139,静岡県焼津市,井戸,222127,0001000,静岡県焼津市相川1547番地の1,静岡県,焼津市,相川,1547番地の1,,34.803381,138.262971,,
222127,140,静岡県焼津市,井戸,222127,0001000,静岡県焼津市相川2415番地,静岡県,焼津市,相川,2415番地,,34.8044517,138.2594423,,
222127,141,静岡県焼津市,井戸,222127,0022000,静岡県焼津市上泉612番地の183 ,静岡県,焼津市,上泉,612番地の183 ,,34.815476,138.252441,,
222127,142,静岡県焼津市,井戸,222127,0022000,静岡県焼津市上泉1688番地の1,静岡県,焼津市,上泉,1688番地の1,,34.814447,138.264347,,
222127,143,静岡県焼津市,井戸,222127,0023000,静岡県焼津市上小杉887番地の52 ,静岡県,焼津市,上小杉,887番地の52 ,,34.81938,138.288149,,
222127,144,静岡県焼津市,井戸,222127,0024000,静岡県焼津市上新田292番地の1,静岡県,焼津市,上新田,292番地の1,,34.820219,138.274433,,
222127,145,静岡県焼津市,井戸,222127,0024000,静岡県焼津市上新田275番地の1,静岡県,焼津市,上新田,275番地の1,,34.821666,138.263319,,
222127,146,静岡県焼津市,井戸,222127,0024000,静岡県焼津市上新田586番地の2,静岡県,焼津市,上新田,586番地の2,,34.81901,138.274244,,
